Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
KIA INDIA PRIVATE LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
NISSAN MOTOR INDIA PVT LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TVS MOTOR COMPANY LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
BAJAJ AUTO LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HERO MOTOCORP LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA CARS INDIA LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
KIA INDIA PRIVATE LIMITED,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
NISSAN MOTOR INDIA PVT LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TVS MOTOR COMPANY LTD,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
BAJAJ AUTO LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HERO MOTOCORP LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA CARS INDIA LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HYUNDAI MOTOR INDIA LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
KIA INDIA PRIVATE LIMITED,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MAHINDRA & MAHINDRA LIMITED,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MARUTI SUZUKI INDIA LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
NISSAN MOTOR INDIA PVT LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TVS MOTOR COMPANY LTD,ELECTRIC(BOV),MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,1
BAJAJ AUTO LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HERO MOTOCORP LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA CARS INDIA LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HYUNDAI MOTOR INDIA LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
KIA INDIA PRIVATE LIMITED,ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MAHINDRA & MAHINDRA LIMITED,ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MARUTI SUZUKI INDIA LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
NISSAN MOTOR INDIA PVT LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TVS MOTOR COMPANY LTD,ETHANOL,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
BAJAJ AUTO LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HERO MOTOCORP LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA CARS INDIA LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HYUNDAI MOTOR INDIA LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
KIA INDIA PRIVATE LIMITED,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MAHINDRA & MAHINDRA LIMITED,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MARUTI SUZUKI INDIA LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
NISSAN MOTOR INDIA PVT LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TVS MOTOR COMPANY LTD,FUEL CELL HYDROGEN,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
BAJAJ AUTO LTD,LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HERO MOTOCORP LTD,LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA CARS INDIA LTD,LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HYUNDAI MOTOR INDIA LTD,LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
KIA INDIA PRIVATE LIMITED,LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MAHINDRA & MAHINDRA LIMITED,LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MARUTI SUZUKI INDIA LTD,LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
NISSAN MOTOR INDIA PVT LTD,LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ROYAL-ENFIELD (UNIT OF EICHER LTD),LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
TVS MOTOR COMPANY LTD,LNG,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
BAJAJ AUTO LTD,LPG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),LPG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HERO MOTOCORP LTD,LPG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA CARS INDIA LTD,LPG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,LPG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
HYUNDAI MOTOR INDIA LTD,LPG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),LPG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
KIA INDIA PRIVATE LIMITED,LPG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MAHINDRA & MAHINDRA LIMITED,LPG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
MARUTI SUZUKI INDIA LTD,LPG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
NISSAN MOTOR INDIA PVT LTD,LPG ONLY,MOTOR CAR,Punjab(96),SDM AHMEDGARH,PB82,2024,JUL,0
