Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TATA MOTORS PASSENGER VEHICLES LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TATA PASSENGER ELECTRIC MOBILITY LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
AUDI AG,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
FORD INDIA PVT LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
HONDA CARS INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
JAGUAR LAND ROVER INDIA LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
KIA INDIA PRIVATE LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MAHINDRA & MAHINDRA LIMITED,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MARUTI SUZUKI INDIA LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MERCEDES-BENZ INDIA PVT LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MG MOTOR INDIA PVT LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
NISSAN MOTOR INDIA PVT LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
PORSCHE AG GERMANY,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TATA MOTORS PASSENGER VEHICLES LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TATA PASSENGER ELECTRIC MOBILITY LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DI-METHYL ETHER,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
AUDI AG,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
FORD INDIA PVT LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
HONDA CARS INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
JAGUAR LAND ROVER INDIA LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
KIA INDIA PRIVATE LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MERCEDES-BENZ INDIA PVT LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MG MOTOR INDIA PVT LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
NISSAN MOTOR INDIA PVT LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
PORSCHE AG GERMANY,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TATA MOTORS PASSENGER VEHICLES LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TATA PASSENGER ELECTRIC MOBILITY LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DUAL DIESEL/BIO CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
AUDI AG,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
FORD INDIA PVT LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
HONDA CARS INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
HYUNDAI MOTOR INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
JAGUAR LAND ROVER INDIA LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
KIA INDIA PRIVATE LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MAHINDRA & MAHINDRA LIMITED,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MARUTI SUZUKI INDIA LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MERCEDES-BENZ INDIA PVT LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
MG MOTOR INDIA PVT LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
NISSAN MOTOR INDIA PVT LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
PORSCHE AG GERMANY,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TATA MOTORS PASSENGER VEHICLES LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TATA PASSENGER ELECTRIC MOBILITY LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DUAL DIESEL/CNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
AUDI AG,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DUAL DIESEL/LNG,MOTOR CAR,Punjab(96), RTO PATIALA,PB11,2024,AUG,0
